cgpa,resume_score,placed
7.19,77.0,1
9.78,40.0,0
8.79,46.0,1
8.19,93.0,1
6.2,74.0,1
6.2,36.0,0
5.76,42.0,0
9.4,78.0,1
8.21,35.0,0
8.69,45.0,0
5.59,71.0,0
9.86,80.0,1
9.25,77.0,1
6.46,50.0,0
6.32,81.0,0
6.33,50.0,0
6.87,56.0,1
7.86,84.0,1
7.44,77.0,1
6.81,90.0,0
8.25,78.0,1
6.13,72.0,1
6.81,41.0,0
7.15,59.0,1
7.55,52.0,0
9.03,51.0,1
6.4,98.0,1
7.81,61.0,0
8.17,93.0,1
5.71,76.0,1
8.23,87.0,1
6.27,68.0,1
5.79,72.0,1
9.77,67.0,1
9.85,48.0,1
9.14,82.0,1
6.87,53.0,0
5.94,37.0,0
8.58,77.0,1
7.48,47.0,0
6.05,96.0,1
7.73,97.0,0
5.65,94.0,0
9.59,59.0,1
6.66,36.0,0
8.48,95.0,1
6.9,63.0,1
7.84,98.0,1
7.96,98.0,1
6.33,90.0,1
9.86,54.0,1
8.99,60.0,1
9.73,90.0,1
9.53,56.0,0
8.19,46.0,1
9.65,71.0,1
5.9,96.0,1
6.38,80.0,1
5.7,72.0,0
6.96,41.0,0
7.25,75.0,0
6.72,99.0,0
9.23,44.0,0
7.11,69.0,1
6.76,92.0,1
7.94,83.0,1
6.13,80.0,1
9.11,81.0,1
5.84,58.0,0
9.94,54.0,1
8.98,88.0,1
6.39,88.0,0
5.52,91.0,0
9.17,94.0,1
8.68,68.0,1
8.78,68.0,1
8.97,87.0,1
5.83,77.0,0
7.11,81.0,1
6.02,87.0,0
9.38,93.0,1
8.3,57.0,1
6.99,59.0,1
5.79,41.0,0
6.9,73.0,1
6.96,37.0,0
8.78,65.0,0
8.37,70.0,1
9.49,54.0,1
7.62,73.0,0
6.04,37.0,0
8.71,37.0,0
8.92,88.0,1
8.03,58.0,0
8.97,43.0,1
7.72,69.0,0
7.85,85.0,1
7.42,49.0,1
5.61,75.0,0
5.99,41.0,0
5.64,38.0,0
8.36,70.0,0
6.91,70.0,0
7.79,76.0,1
9.58,82.0,1
6.62,98.0,0
7.35,69.0,0
8.9,56.0,0
6.53,87.0,0
5.85,53.0,0
6.8,64.0,1
6.23,40.0,0
9.68,37.0,1
9.14,98.0,1
8.35,89.0,1
9.42,80.0,1
9.12,62.0,0
6.34,46.0,0
9.52,45.0,1
7.93,51.0,0
9.13,71.0,0
9.53,81.0,1
6.93,78.0,0
6.0,53.0,0
6.53,97.0,0
7.42,83.0,1
9.18,71.0,1
9.37,75.0,1
5.53,62.0,0
7.8,51.0,0
7.38,58.0,1
6.5,84.0,1
6.04,36.0,0
7.02,43.0,1
9.74,38.0,0
6.95,38.0,0
7.83,91.0,1
8.66,81.0,1
7.14,66.0,0
9.87,41.0,0
9.83,67.0,1
6.63,66.0,0
7.74,46.0,1
6.85,63.0,1
6.78,61.0,1
5.67,75.0,1
8.24,76.0,1
7.76,38.0,0
5.73,59.0,0
6.75,76.0,1
9.59,68.0,0
6.58,91.0,1
6.15,78.0,0
7.7,46.0,0
9.94,40.0,0
6.59,77.0,1
8.52,37.0,0
8.93,73.0,1
6.57,96.0,1
8.78,72.0,0
7.16,60.0,1
8.35,77.0,1
8.35,65.0,0
7.91,70.0,1
5.91,96.0,1
9.26,60.0,1
6.94,97.0,1
6.34,94.0,0
5.68,48.0,0
8.16,40.0,1
8.55,42.0,1
5.57,36.0,0
7.8,41.0,1
6.52,79.0,1
8.4,40.0,1
6.28,56.0,1
8.61,90.0,1
7.24,37.0,1
9.72,88.0,1
6.12,53.0,0
7.03,43.0,0
6.01,80.0,0
9.66,76.0,1
9.45,92.0,1
6.66,83.0,0
8.47,87.0,1
9.18,53.0,1
8.0,47.0,0
7.88,84.0,0
6.59,87.0,0
5.92,99.0,1
9.54,62.0,1
9.55,59.0,1
8.35,85.0,1
7.03,57.0,0
7.07,95.0,0
8.77,91.0,1
9.54,63.0,1
9.49,84.0,1
9.01,84.0,1
